gene	genome	ko	gene_abundance
NC_019977.1_212	MAG_arc001	K13668; K19002	23.51
NC_019977.1_213	MAG_arc001	K07151; K21306	15.60
NC_019977.1_214	MAG_arc001	K08482	38.46
NC_019977.1_215	MAG_arc001		85.25
NC_019977.1_216	MAG_arc001		12.75
NC_019977.1_217	MAG_arc001	K02319	85.85
NC_019977.1_218	MAG_arc001	K02039	33.38
NC_019977.1_219	MAG_arc001	K02036	56.89
NC_019977.1_220	MAG_arc001	K02038	38.85
NC_019977.1_221	MAG_arc001	K02037	59.72
NC_019977.1_222	MAG_arc001	K02040	16.40
NC_019977.1_223	MAG_arc001	K01465	72.79
NC_019977.1_224	MAG_arc001	K08482	23.54
NC_019977.1_225	MAG_arc001		32.72
NC_019977.1_226	MAG_arc001	K06961	12.61
NC_019977.1_227	MAG_arc001	K07178	8.28
NC_019977.1_228	MAG_arc001	K03236	45.34
NC_019977.1_229	MAG_arc001	K07557; K18779	15.54
NC_019977.1_230	MAG_arc001	K03179; K17105	15.04
NC_019977.1_231	MAG_arc001	K17830	23.74
NC_019977.1_232	MAG_arc001	K22227	18.92
NC_019977.1_233	MAG_arc001		23.14
NC_019977.1_234	MAG_arc001	K01079	40.23
NC_019977.1_235	MAG_arc001	K00319	23.01
NC_019977.1_236	MAG_arc001		18.58
NC_019977.1_237	MAG_arc001	K09126	75.68
NC_019977.1_238	MAG_arc001	K06869	93.04
NC_019977.1_239	MAG_arc001	K09135	18.85
NC_019977.1_240	MAG_arc001	K07587	22.76
NC_019977.1_241	MAG_arc001	K07477	26.80
NC_019977.1_242	MAG_arc001	K09721	42.49
NC_019977.1_243	MAG_arc001	K07143	14.67
NC_019977.1_244	MAG_arc001	K10896	24.17
NC_019977.1_245	MAG_arc001	K01880	69.14
NC_019977.1_246	MAG_arc001	K11645; K16306	25.70
NC_019977.1_247	MAG_arc001	K01494	30.59
NC_019977.1_248	MAG_arc001		15.14
NC_019977.1_249	MAG_arc001		14.82
NC_019977.1_250	MAG_arc001		93.77
NC_019977.1_251	MAG_arc001	K10773	18.00
NC_019977.1_252	MAG_arc001	K13812	86.73
NC_019977.1_253	MAG_arc001	K01803	21.68
NC_019977.1_254	MAG_arc001		45.97
NC_019977.1_255	MAG_arc001	K14187	13.97
NC_019977.1_256	MAG_arc001	K00014	15.94
NC_019977.1_257	MAG_arc001	K03785	24.55
NC_019977.1_258	MAG_arc001	K11646	7.80
NC_019977.1_259	MAG_arc001	K11645; K16306	22.94
NC_019977.1_260	MAG_arc001	K08482	7.96
NC_019977.1_261	MAG_arc001	K01951	8.60
NC_019977.1_262	MAG_arc001	K03106	21.48
NC_019977.1_263	MAG_arc001	K06149	80.21
NC_019977.1_264	MAG_arc001	K07163	30.98
NC_019977.1_265	MAG_arc001		32.97
NC_019977.1_266	MAG_arc001	K03515; K04479	25.87
NC_019977.1_267	MAG_arc001		27.64
NC_019977.1_268	MAG_arc001		17.19
NC_019977.1_269	MAG_arc001	K01714	22.08
NC_019977.1_270	MAG_arc001	K00215	19.07
NC_019977.1_271	MAG_arc001	K00610	21.64
NC_019977.1_272	MAG_arc001	K00609	16.06
NC_019977.1_273	MAG_arc001	K13831	31.92
NC_019977.1_274	MAG_arc001	K07991	23.28
NC_019977.1_275	MAG_arc001	K05592; K10901	27.48
NC_019977.1_276	MAG_arc001	K01951	46.31
NC_019977.1_277	MAG_arc001	K06936	18.50
NC_019977.1_278	MAG_arc001	K00930	25.72
NC_019977.1_279	MAG_arc001		37.90
NC_019977.1_280	MAG_arc001	K17488	11.23
NC_019977.1_281	MAG_arc001		16.14
NC_019977.1_282	MAG_arc001	K09717	40.85
NC_019977.1_283	MAG_arc001	K01436; K01451	38.23
NC_019977.1_284	MAG_arc001	K03828	45.31
NC_019977.1_285	MAG_arc001	K00619	20.09
NC_019977.1_286	MAG_arc001		18.04
NC_019977.1_287	MAG_arc001	K03389	20.85
NC_019977.1_288	MAG_arc001	K03390	40.35
NC_019977.1_289	MAG_arc001	K01915	60.27
NC_019977.1_290	MAG_arc001	K00764; K22081	64.32
NC_019977.1_291	MAG_arc001	K00265; K22083	24.64
NC_019977.1_292	MAG_arc001	K22082	39.29
NC_019977.1_293	MAG_arc001	K00441	37.06
NC_019977.1_294	MAG_arc001		52.73
NC_019977.1_295	MAG_arc001	K01915	63.22
NC_019977.1_296	MAG_arc001		22.33
NC_019977.1_297	MAG_arc001		11.88
NC_019977.1_298	MAG_arc001		73.29
NC_019977.1_299	MAG_arc001	K05710	21.84
NC_019977.1_300	MAG_arc001		89.02
NC_019977.1_301	MAG_arc001	K05710	13.21
NC_019977.1_302	MAG_arc001		45.27
NC_019977.1_303	MAG_arc001	K17892	16.38
NC_019977.1_304	MAG_arc001		21.70
NC_019977.1_305	MAG_arc001		41.87
NC_019977.1_306	MAG_arc001	K13533	25.24
NC_019977.1_307	MAG_arc001	K03427	31.85
NC_019977.1_308	MAG_arc001	K20156	19.40
NC_019977.1_309	MAG_arc001		76.37
NC_019977.1_310	MAG_arc001		28.47
NC_019977.1_311	MAG_arc001	K01154	24.19
NC_019977.1_312	MAG_arc001		42.39
NC_019977.1_313	MAG_arc001	K01153	14.15
NC_019977.1_314	MAG_arc001	K00571	24.59
NC_019977.1_315	MAG_arc001	K09720	154.65
NC_019977.1_316	MAG_arc001		17.33
NC_019977.1_317	MAG_arc001		9.01
NC_019977.1_318	MAG_arc001		26.56
NC_019977.1_319	MAG_arc001	K00400; K02032	15.76
NC_019977.1_320	MAG_arc001	K07094; K17104	19.46
NC_019977.1_321	MAG_arc001	K02434	20.57
NC_019977.1_322	MAG_arc001	K01426; K02433	20.97
NC_019977.1_323	MAG_arc001	K02435	19.51
NC_019977.1_324	MAG_arc001	K03183	64.70
NC_019977.1_325	MAG_arc001	K00385; K11181	36.27
NC_019977.1_326	MAG_arc001		18.10
NC_019977.1_327	MAG_arc001	K09006	89.95
NC_019977.1_328	MAG_arc001	K13605; K17105	9.87
NC_019977.1_329	MAG_arc001	K03517	16.89
NC_019977.1_330	MAG_arc001	K06989	26.71
NC_019977.1_331	MAG_arc001		9.74
NC_019977.1_332	MAG_arc001	K24404	8.95
NC_019977.1_333	MAG_arc001	K02448	48.66
NC_019977.1_334	MAG_arc001	K13444	15.47
NC_019977.1_335	MAG_arc001		9.95
NC_019977.1_336	MAG_arc001	K14080	12.48
NC_019977.1_337	MAG_arc001	K07652; K13533	6.13
NC_019977.1_338	MAG_arc001	K16183	18.91
NC_019977.1_339	MAG_arc001		51.24
NC_019977.1_340	MAG_arc001		63.39
NC_019977.1_341	MAG_arc001		38.28
NC_019977.1_342	MAG_arc001	K07304	19.83
NC_019977.1_343	MAG_arc001	K10797	27.42
NC_019977.1_344	MAG_arc001	K14084	11.73
NC_019977.1_345	MAG_arc001	K14082	100.31
NC_019977.1_346	MAG_arc001		56.25
NC_019977.1_347	MAG_arc001	K00129; K25072	8.29
NC_019977.1_348	MAG_arc001	K07124; K10251	22.09
NC_019977.1_349	MAG_arc001		70.12
NC_019977.1_350	MAG_arc001	K16868	21.57
NC_019977.1_351	MAG_arc001	K01912	26.73
NC_019977.1_352	MAG_arc001	K06937	22.63
NC_019977.1_353	MAG_arc001		39.60
NC_019977.1_354	MAG_arc001	K14080	9.50
NC_019977.1_355	MAG_arc001		8.83
NC_019977.1_356	MAG_arc001	K00767; K03813	64.75
NC_019977.1_357	MAG_arc001		24.25
NC_019977.1_358	MAG_arc001	K06934	11.07
NC_019977.1_359	MAG_arc001	K01689	24.89
NC_019977.1_360	MAG_arc001	K05834	11.01
NC_019977.1_361	MAG_arc001		17.24
NC_019977.1_362	MAG_arc001	K07652	28.09
NC_019977.1_363	MAG_arc001		46.54
NC_019977.1_364	MAG_arc001	K05685; K09808	23.05
NC_019977.1_365	MAG_arc001	K02003	19.13
NC_019977.1_366	MAG_arc001		30.68
NC_019977.1_367	MAG_arc001		12.42
NC_019977.1_368	MAG_arc001		37.26
NC_019977.1_369	MAG_arc001	K02003	31.84
NC_019977.1_370	MAG_arc001		39.61
NC_019977.1_371	MAG_arc001	K09808; K24948	43.09
NC_019977.1_372	MAG_arc001	K09808; K24948	58.83
NC_019977.1_373	MAG_arc001		74.24
NC_019977.1_374	MAG_arc001	K01581	39.24
NC_019977.1_375	MAG_arc001		68.17
NC_019977.1_376	MAG_arc001		49.74
NC_019977.1_377	MAG_arc001		40.44
NC_019977.1_378	MAG_arc001		55.33
NC_019977.1_379	MAG_arc001		60.71
NC_019977.1_380	MAG_arc001		6.22
NC_019977.1_381	MAG_arc001		15.69
NC_019977.1_382	MAG_arc001	K07636	34.09
NC_019977.1_383	MAG_arc001	K03455	11.18
NC_019977.1_384	MAG_arc001		20.68
NC_019977.1_385	MAG_arc001		27.61
NC_019977.1_386	MAG_arc001	K07159	9.36
NC_019977.1_387	MAG_arc001	K03237	27.43
NC_019977.1_388	MAG_arc001		16.02
NC_019977.1_389	MAG_arc001		42.86
NC_019977.1_390	MAG_arc001	K09723	18.16
NC_019977.1_391	MAG_arc001	K05601	27.92
NC_019977.1_392	MAG_arc001	K02683	46.25
NC_019977.1_393	MAG_arc001	K24971	37.49
NC_019977.1_394	MAG_arc001	K06965	114.46
NC_019977.1_395	MAG_arc001		41.81
NC_019977.1_396	MAG_arc001	K07034	63.12
NC_019977.1_397	MAG_arc001	K18672	16.68
NC_019977.1_398	MAG_arc001	K01975	50.43
NC_019977.1_399	MAG_arc001	K03734	37.19
NC_019977.1_400	MAG_arc001		19.14
NC_019977.1_401	MAG_arc001		9.55
NC_019977.1_402	MAG_arc001	K03615	17.60
NC_019977.1_403	MAG_arc001	K03614	11.25
NC_019977.1_404	MAG_arc001	K03612	22.15
NC_019977.1_405	MAG_arc001	K03613	109.52
NC_019977.1_406	MAG_arc001	K03617	25.73
NC_019977.1_407	MAG_arc001	K03616	30.07
NC_019977.1_408	MAG_arc001		60.43
NC_019977.1_409	MAG_arc001	K02343; K04801	39.36
NC_019977.1_410	MAG_arc001		27.95
NC_019977.1_411	MAG_arc001	K24450	41.54
NC_019977.1_412	MAG_arc001	K22405	34.74
NC_019977.1_413	MAG_arc001		41.09
NC_019977.1_414	MAG_arc001	K09746	38.59
NC_019977.1_415	MAG_arc001		32.40
NC_019977.1_416	MAG_arc001		56.11
NC_019977.1_417	MAG_arc001	K11645; K16305	27.91
NC_019977.1_418	MAG_arc001	K03294	25.53
NC_019977.1_419	MAG_arc001		24.76
NC_019977.1_420	MAG_arc001	K09746	18.92
NC_019977.1_421	MAG_arc001		41.20
NC_019977.1_422	MAG_arc001	K07095	11.80
NC_019977.1_423	MAG_arc001	K07730	37.53
NC_019977.1_424	MAG_arc001		16.52
NC_019977.1_425	MAG_arc001	K00809	61.22
NC_019977.1_426	MAG_arc001		30.06
NC_019977.1_427	MAG_arc001	K22900	233.25
NC_019977.1_428	MAG_arc001	K13566	38.54
NC_019977.1_429	MAG_arc001	K07053	46.45
NC_019977.1_430	MAG_arc001		15.43
NC_019977.1_431	MAG_arc001	K09667	11.44
NC_019977.1_432	MAG_arc001	K01628; K03077	46.06
NC_019977.1_433	MAG_arc001	K17884	39.37
NC_019977.1_434	MAG_arc001	K24956	71.33
NC_019977.1_435	MAG_arc001	K14415	82.73
NC_019977.1_436	MAG_arc001	K07398; K07557	23.10
NC_019977.1_437	MAG_arc001		74.27
NC_019977.1_438	MAG_arc001		42.18
NC_019977.1_439	MAG_arc001	K00821	101.74
NC_019977.1_440	MAG_arc001	K00817	12.87
NC_019977.1_441	MAG_arc001	K09739	19.62
NC_019977.1_442	MAG_arc001	K19665	23.63
NC_019977.1_443	MAG_arc001	K01613	36.78
NC_019977.1_444	MAG_arc001	K24447	27.13
NC_019977.1_445	MAG_arc001	K13522	32.71
NC_019977.1_446	MAG_arc001	K03000; K03057	71.61
NC_019977.1_447	MAG_arc001	K04802	33.90
NC_019977.1_448	MAG_arc001	K18882	14.55
NC_019977.1_449	MAG_arc001	K03969	42.56
NC_019977.1_450	MAG_arc001		78.03
NC_019977.1_451	MAG_arc001		54.40
NC_019977.1_452	MAG_arc001	K03799	67.50
NC_019977.1_453	MAG_arc001	K02224	23.96
NC_019977.1_454	MAG_arc001	K03639	51.56
NC_019977.1_455	MAG_arc001		37.93
NC_019977.1_456	MAG_arc001	K03787	12.23
NC_019977.1_457	MAG_arc001		30.55
NC_019977.1_458	MAG_arc001		38.29
NC_019977.1_459	MAG_arc001	K01872	32.49
NC_019977.1_460	MAG_arc001	K07658; K07679	37.12
NC_019977.1_461	MAG_arc001	K14292	38.66
NC_019977.1_462	MAG_arc001	K07327	27.49
NC_019977.1_463	MAG_arc001	K07329	27.58
NC_019977.1_464	MAG_arc001	K07330	23.28
NC_019977.1_465	MAG_arc001	K07331	42.62
NC_019977.1_466	MAG_arc001	K07332	26.44
NC_019977.1_467	MAG_arc001	K07333	31.12
NC_019977.1_468	MAG_arc001	K10978	39.65
NC_019977.1_469	MAG_arc001		40.89
NC_019977.1_470	MAG_arc001	K01704; K16793	36.82
NC_019977.1_471	MAG_arc001	K07151; K21306	34.08
NC_019977.1_472	MAG_arc001	K13668; K16699	30.57
NC_019977.1_473	MAG_arc001		91.09
NC_019977.1_474	MAG_arc001	K00754; K13668	12.75
NC_019977.1_475	MAG_arc001	K03328	11.36
NC_019977.1_476	MAG_arc001	K16699	109.15
NC_019977.1_477	MAG_arc001		61.46
NC_019977.1_478	MAG_arc001	K01840	64.00
NC_019977.1_479	MAG_arc001	K00971; K16011	23.25
NC_019977.1_480	MAG_arc001	K20203	38.34
NC_019977.1_481	MAG_arc001	K00266	42.87
NC_019977.1_482	MAG_arc001	K00390	22.72
NC_019977.1_483	MAG_arc001	K03548	40.76
NC_019977.1_484	MAG_arc001	K01868	16.79
NC_019977.1_485	MAG_arc001	K01512	41.51
NC_019977.1_486	MAG_arc001	K03151	20.15
NC_019977.1_487	MAG_arc001	K07327	66.76
NC_019977.1_488	MAG_arc001		8.54
NC_019977.1_489	MAG_arc001		39.70
NC_019977.1_490	MAG_arc001		38.25
NC_019977.1_491	MAG_arc001	K23255	83.77
NC_019977.1_492	MAG_arc001		20.25
NC_019977.1_493	MAG_arc001	K07166	42.47
NC_019977.1_494	MAG_arc001	K09157	18.50
NC_019977.1_495	MAG_arc001	K00891	58.47
NC_019977.1_496	MAG_arc001	K02007	28.99
NC_019977.1_497	MAG_arc001		42.65
NC_019977.1_498	MAG_arc001		33.79
NC_019977.1_499	MAG_arc001	K20468	75.90
NC_019977.1_500	MAG_arc001	K22278	22.74
NC_019977.1_501	MAG_arc001	K08256; K19002	19.05
NC_019977.1_502	MAG_arc001	K07027	169.74
NC_019977.1_503	MAG_arc001	K01531; K01537	41.83
NC_019977.1_504	MAG_arc001	K03284	23.20
NC_019977.1_505	MAG_arc001		16.12
NC_019977.1_506	MAG_arc001		28.03
NC_019977.1_507	MAG_arc001	K04561; K15862	16.90
NC_019977.1_508	MAG_arc001		43.24
NC_019977.1_509	MAG_arc001	K02638	11.97
NC_019977.1_510	MAG_arc001	K14205	14.27
NC_019977.1_511	MAG_arc001	K02008	30.10
NC_019977.1_512	MAG_arc001	K02006	33.68
NC_019977.1_513	MAG_arc001	K02013	47.25
NC_019977.1_514	MAG_arc001	K07304	37.87
NC_019977.1_515	MAG_arc001	K21310	41.86
NC_019977.1_516	MAG_arc001		64.01
NC_019977.1_517	MAG_arc001	K06518	22.92
NC_019977.1_518	MAG_arc001	K05339	75.21
NC_019977.1_519	MAG_arc001		18.90
NC_019977.1_520	MAG_arc001	K13525	22.02
NC_019977.1_521	MAG_arc001	K07496	37.61
NC_019977.1_522	MAG_arc001	K07491	126.62
NC_019977.1_523	MAG_arc001	K01912	13.29
NC_019977.1_524	MAG_arc001	K00765	40.62
NC_019977.1_525	MAG_arc001	K23541	13.00
NC_019977.1_526	MAG_arc001		4.23
NC_019977.1_527	MAG_arc001	K00486; K17830	36.31
NC_019977.1_528	MAG_arc001	K22012	53.77
NC_019977.1_529	MAG_arc001	K02588; K21610	24.28
NC_019977.1_530	MAG_arc001	K02591; K21611	37.83
NC_019977.1_531	MAG_arc001	K21612	40.98
NC_019977.1_532	MAG_arc001		21.07
NC_019977.1_533	MAG_arc001	K09730	12.50
NC_019977.1_534	MAG_arc001	K00096; K08317	23.61
NC_019977.1_535	MAG_arc001		24.26
NC_019977.1_536	MAG_arc001	K06384	48.64
NC_019977.1_537	MAG_arc001	K06863	56.43
NC_019977.1_538	MAG_arc001	K00955; K03242	49.68
NC_019977.1_539	MAG_arc001	K07158	24.46
NC_019977.1_540	MAG_arc001		91.09
NC_019977.1_541	MAG_arc001	K03049	11.62
NC_019977.1_542	MAG_arc001	K03050	3.65
NC_019977.1_543	MAG_arc001	K09735	2.31
NC_019977.1_544	MAG_arc001		25.72
NC_019977.1_545	MAG_arc001		42.85
NC_019977.1_546	MAG_arc001		28.13
NC_019977.1_547	MAG_arc001		20.10
NC_019977.1_548	MAG_arc001		30.73
NC_019977.1_549	MAG_arc001	K02230	76.05
NC_019977.1_550	MAG_arc001	K02230	43.59
NC_019977.1_551	MAG_arc001	K02230	14.57
NC_019977.1_552	MAG_arc001	K00917; K16370	42.55
NC_019977.1_553	MAG_arc001	K17734	31.84
NC_019977.1_554	MAG_arc001		11.96
NC_019977.1_555	MAG_arc001	K18206	30.38
NC_019977.1_556	MAG_arc001	K15904	15.84
